Victor
Smirnov
e7302a803b16771aadf2fa464b31ca6f
[24.4.2023 | 21:20:16] {"type":"cmd","data":"run"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:17] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
